sequence,prompt_id,reward,alpha,beta,posterior_mean
1,missing_acceptance_criteria,1.0,2.0,1.0,0.6666666666666666
2,dependency_heavy,1.0,2.0,1.0,0.6666666666666666
3,low_external_context,0.5,1.75,1.25,0.5833333333333334
4,failure_recovery_paths,1.0,2.0,1.0,0.6666666666666666
5,nonfunctional_constraints,1.0,2.0,1.0,0.6666666666666666
6,interface_data_contracts,1.0,2.0,1.0,0.6666666666666666
7,operational_readiness,1.0,2.0,1.0,0.6666666666666666
8,ambiguity_resolution,1.0,2.0,1.0,0.6666666666666666
9,security_privacy_boundaries,0.875,1.9375,1.0625,0.6458333333333334
10,missing_acceptance_criteria,1.0,3.0,1.0,0.75
11,dependency_heavy,1.0,3.0,1.0,0.75
12,low_external_context,0.625,2.5625,1.4375,0.640625
13,failure_recovery_paths,1.0,3.0,1.0,0.75
14,nonfunctional_constraints,0.625,2.8125,1.1875,0.703125
15,interface_data_contracts,0.625,2.8125,1.1875,0.703125
16,operational_readiness,0.875,2.9375,1.0625,0.734375
17,ambiguity_resolution,0.875,2.9375,1.0625,0.734375
18,security_privacy_boundaries,-0.5,2.1875,1.8125,0.546875
19,missing_acceptance_criteria,1.0,4.0,1.0,0.8
20,dependency_heavy,0.625,3.8125,1.1875,0.7625
21,low_external_context,0.5,3.3125,1.6875,0.6625
22,failure_recovery_paths,1.0,4.0,1.0,0.8
23,nonfunctional_constraints,0.625,3.625,1.375,0.725
24,interface_data_contracts,1.0,3.8125,1.1875,0.7625
25,operational_readiness,0.25,3.5625,1.4375,0.7125
26,ambiguity_resolution,0.875,3.875,1.125,0.775
27,security_privacy_boundaries,0.375,2.875,2.125,0.575
28,missing_acceptance_criteria,1.0,5.0,1.0,0.8333333333333334
29,dependency_heavy,1.0,4.8125,1.1875,0.8020833333333334
30,low_external_context,1.0,4.3125,1.6875,0.71875
31,failure_recovery_paths,1.0,5.0,1.0,0.8333333333333334
32,nonfunctional_constraints,1.0,4.625,1.375,0.7708333333333334
33,interface_data_contracts,1.0,4.8125,1.1875,0.8020833333333334
34,operational_readiness,1.0,4.5625,1.4375,0.7604166666666666
35,ambiguity_resolution,1.0,4.875,1.125,0.8125
36,security_privacy_boundaries,-0.5,3.125,2.875,0.5208333333333334
37,missing_acceptance_criteria,1.0,6.0,1.0,0.8571428571428571
38,dependency_heavy,0.625,5.625,1.375,0.8035714285714286
39,low_external_context,1.0,5.3125,1.6875,0.7589285714285714
40,failure_recovery_paths,1.0,6.0,1.0,0.8571428571428571
41,nonfunctional_constraints,0.625,5.4375,1.5625,0.7767857142857143
42,interface_data_contracts,1.0,5.8125,1.1875,0.8303571428571429
43,operational_readiness,1.0,5.5625,1.4375,0.7946428571428571
44,ambiguity_resolution,1.0,5.875,1.125,0.8392857142857143
45,security_privacy_boundaries,0.375,3.8125,3.1875,0.5446428571428571
46,missing_acceptance_criteria,1.0,7.0,1.0,0.875
47,dependency_heavy,1.0,6.625,1.375,0.828125
48,low_external_context,0.625,6.125,1.875,0.765625
49,failure_recovery_paths,1.0,7.0,1.0,0.875
50,nonfunctional_constraints,1.0,6.4375,1.5625,0.8046875
51,interface_data_contracts,1.0,6.8125,1.1875,0.8515625
52,operational_readiness,1.0,6.5625,1.4375,0.8203125
53,ambiguity_resolution,1.0,6.875,1.125,0.859375
54,security_privacy_boundaries,0.375,4.5,3.5,0.5625
55,missing_acceptance_criteria,1.0,8.0,1.0,0.8888888888888888
56,dependency_heavy,0.75,7.5,1.5,0.8333333333333334
57,low_external_context,1.0,7.125,1.875,0.7916666666666666
58,failure_recovery_paths,1.0,8.0,1.0,0.8888888888888888
59,nonfunctional_constraints,1.0,7.4375,1.5625,0.8263888888888888
60,interface_data_contracts,1.0,7.8125,1.1875,0.8680555555555556
61,operational_readiness,1.0,7.5625,1.4375,0.8402777777777778
62,ambiguity_resolution,1.0,7.875,1.125,0.875
