story_id,wave,prompt_strategy,attempt_index,decision,writeback_status,confidence_before,confidence_after,confidence_delta,target_confidence,lag_before,lag_after,reward,loss,loss_before,loss_delta,kappa_hat
S001,W1,dependency_heavy,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S002,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S003,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S004,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S005,W1,dependency_heavy,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S006,W1,dependency_heavy,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S007,W1,dependency_heavy,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S008,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S009,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S010,W1,low_external_context,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S011,W1,dependency_heavy,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S012,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S013,W1,low_external_context,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S014,W1,dependency_heavy,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S015,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S016,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S017,W1,dependency_heavy,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S018,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S019,W1,dependency_heavy,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S020,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S021,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S022,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S023,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S024,W1,missing_acceptance_criteria,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S025,W1,low_external_context,0,approve,written,8.0,9.0,1.0,9.0,1.0,0.0,0.4,0.0,0.111111,0.111111,13.815512
S026,W2,missing_acceptance_criteria,0,approve,written,7.0,9.0,2.0,9.0,2.0,0.0,0.5,0.0,0.222222,0.222222,14.508658
S027,W2,missing_acceptance_criteria,0,approve,written,6.0,10.0,4.0,9.0,3.0,0.0,0.7,0.0,0.333333,0.333333,14.914123
S028,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S029,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S030,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S031,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S032,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S033,W2,missing_acceptance_criteria,0,approve,written,6.0,10.0,4.0,9.0,3.0,0.0,0.7,0.0,0.333333,0.333333,14.914123
S034,W2,missing_acceptance_criteria,0,approve,written,7.0,10.0,3.0,9.0,2.0,0.0,0.6,0.0,0.222222,0.222222,14.508658
S035,W2,low_external_context,0,approve,written,8.0,10.0,2.0,9.0,1.0,0.0,0.5,0.0,0.111111,0.111111,13.815512
