method,sample_id,coverage_score,acceptance_completeness,dependency_capture_rate,rework_rate,time_to_ready_minutes,reviewer_edits_per_story,governance_block_rate
B0_manual,U00001,6.5776,6.2816,0.5766,0.2458,180.43,4.2383,0.0888
B0_manual,U00016,6.2347,5.9996,0.5618,0.2577,187.18,4.4472,0.0891
B0_manual,U00031,6.297,6.044,0.5575,0.2599,188.27,4.4724,0.0924
B0_manual,U00046,6.0966,5.8699,0.5394,0.2729,195.35,4.6795,0.0971
B0_manual,U00061,6.2352,6.0,0.5618,0.2576,187.17,4.4468,0.0891
B0_manual,U00076,6.404,6.1315,0.5616,0.2565,186.31,4.4111,0.0925
B0_manual,U00091,6.3467,6.0848,0.5595,0.2582,187.31,4.4426,0.0923
B0_manual,U00106,6.2202,5.9719,0.5451,0.2683,192.79,4.6009,0.0968
B0_manual,U00121,6.1268,5.9027,0.5488,0.2667,192.07,4.5883,0.0932
B0_manual,U00136,6.5932,6.2926,0.5753,0.2465,180.77,4.2464,0.0897
B0_manual,U00151,6.2236,5.9867,0.5575,0.2604,188.65,4.488,0.0909
B0_manual,U00166,6.3477,6.0828,0.5567,0.26,188.26,4.4682,0.0937
B0_manual,U00181,6.3778,6.1069,0.5574,0.2594,187.87,4.4553,0.094
B0_manual,U00196,6.4947,6.2029,0.5622,0.2555,185.63,4.3859,0.094
B0_manual,U00211,6.5406,6.2474,0.5711,0.2495,182.43,4.2956,0.0906
B0_manual,U00226,6.2621,6.0066,0.547,0.2668,191.92,4.574,0.0966
B0_manual,U00241,6.223,5.9701,0.5409,0.271,194.16,4.6379,0.0988
B0_manual,U00256,6.5434,6.2549,0.5765,0.2461,180.64,4.2466,0.0881
B0_manual,U00271,6.3532,6.0968,0.5667,0.2537,184.92,4.377,0.0891
B0_manual,U00286,6.3696,6.1095,0.5666,0.2536,184.86,4.3742,0.0895
B0_manual,U00301,6.1223,5.8967,0.5462,0.2683,192.93,4.6119,0.0943
B0_manual,U00316,6.2791,6.0337,0.5612,0.2577,187.12,4.4424,0.0902
B0_manual,U00331,6.2825,6.0169,0.5413,0.2703,193.71,4.6215,0.0998
B0_manual,U00346,6.364,6.0921,0.5533,0.2621,189.31,4.4956,0.0957
B0_manual,U00361,6.422,6.1463,0.5623,0.2559,185.99,4.4011,0.0925
B0_manual,U00376,6.269,6.0221,0.5575,0.2601,188.42,4.4784,0.0918
B0_manual,U00391,6.3974,6.1319,0.5673,0.2529,184.47,4.3614,0.0896
B0_manual,U00406,6.2319,5.9861,0.5502,0.265,191.03,4.5522,0.0946
B0_manual,U00421,6.2517,5.9933,0.5418,0.2702,193.71,4.6236,0.0989
B0_manual,U00436,6.2629,6.0192,0.5593,0.259,187.83,4.4629,0.0908
B0_manual,U00451,6.2735,6.0254,0.5573,0.2602,188.46,4.4792,0.092
B0_manual,U00466,6.2743,6.0342,0.5655,0.255,185.72,4.4045,0.0881
B0_manual,U00481,6.0028,5.7921,0.5347,0.2765,197.41,4.7426,0.0975
B0_manual,U00496,6.3554,6.0921,0.5601,0.2579,187.1,4.4361,0.0923
B0_manual,U00511,6.182,5.951,0.5542,0.2628,189.98,4.5271,0.0917
B0_manual,U00526,6.0803,5.8633,0.5456,0.269,193.37,4.6268,0.0938
B0_manual,U00541,6.1733,5.9369,0.5467,0.2677,192.51,4.5966,0.0951
B0_manual,U00556,6.348,6.0875,0.5613,0.2571,186.74,4.4269,0.0916
B0_manual,U00571,6.2848,6.024,0.5468,0.2668,191.88,4.5714,0.0972
B0_manual,U00586,6.3872,6.1095,0.5525,0.2624,189.44,4.4974,0.0965
B0_manual,U00601,6.2855,6.0324,0.5548,0.2617,189.2,4.4985,0.0934
B0_manual,U00616,6.2959,6.0343,0.5484,0.2657,191.29,4.5546,0.0967
B0_manual,U00631,6.5538,6.2572,0.5705,0.2498,182.56,4.2982,0.0912
B0_manual,U00646,6.3378,6.0829,0.5648,0.255,185.63,4.3976,0.0897
B0_manual,U00661,6.2227,5.9843,0.5558,0.2615,189.24,4.504,0.0917
B0_manual,U00676,6.2093,5.9783,0.5604,0.2587,187.77,4.4652,0.0893
B0_manual,U00691,6.3024,6.0543,0.5638,0.2559,186.15,4.4142,0.0895
B0_manual,U00706,6.4417,6.1586,0.5592,0.2578,186.92,4.4249,0.0944
B0_manual,U00721,6.2169,5.9834,0.5594,0.2593,188.05,4.4722,0.0899
B0_manual,U00736,6.3575,6.0949,0.5613,0.257,186.68,4.4244,0.0917
B0_manual,U00751,6.0869,5.8665,0.5436,0.2703,194.0,4.6437,0.0949
B0_manual,U00766,6.376,6.0998,0.5515,0.2631,189.83,4.5088,0.0967
B0_manual,U00781,6.4681,6.1824,0.5625,0.2555,185.69,4.3895,0.0933
B0_manual,U00796,6.0821,5.8614,0.5422,0.2712,194.49,4.6572,0.0954
B0_manual,U00811,6.4138,6.1362,0.5585,0.2584,187.29,4.4369,0.0941
B0_manual,U00826,6.4617,6.1732,0.5582,0.2583,187.15,4.4298,0.0952
B0_manual,U00841,6.495,6.2165,0.576,0.2467,181.07,4.2617,0.0874
B0_manual,U00856,6.2783,6.0285,0.5565,0.2606,188.68,4.4847,0.0924
B0_manual,U00871,6.1908,5.952,0.5482,0.2666,191.92,4.5793,0.0947
B0_manual,U00885,6.273,6.0267,0.559,0.2591,187.9,4.4639,0.0912
B0_manual,U00899,6.32,6.058,0.5534,0.2623,189.5,4.5041,0.0948
B0_manual,U00913,6.3962,6.117,0.553,0.2621,189.23,4.4912,0.0964
B0_manual,U00927,6.3085,6.0494,0.5538,0.2622,189.42,4.5028,0.0943
B0_manual,U00941,6.3815,6.1026,0.55,0.264,190.28,4.5208,0.0975
B0_manual,U00955,6.3761,6.1158,0.5678,0.2528,184.42,4.3616,0.089
B0_manual,U00969,6.3522,6.0965,0.5671,0.2534,184.77,4.3729,0.0888
B0_manual,U00983,6.2462,6.0084,0.5617,0.2576,187.15,4.4456,0.0894
B0_manual,U00997,6.1652,5.9249,0.5408,0.2715,194.51,4.6517,0.0977
B0_manual,U01011,6.4922,6.2106,0.5722,0.2492,182.35,4.2968,0.0892
B0_manual,U01025,6.105,5.8841,0.5472,0.2679,192.72,4.6074,0.0935
B0_manual,U01039,6.1182,5.8938,0.5466,0.2681,192.82,4.6093,0.094
B0_manual,U01053,6.4857,6.1986,0.565,0.2538,184.76,4.3628,0.0925
B0_manual,U01067,6.472,6.1887,0.5658,0.2533,184.56,4.3585,0.0918
B0_manual,U01081,6.5603,6.2607,0.569,0.2507,183.03,4.3105,0.092
B0_manual,U01095,6.4417,6.156,0.5565,0.2594,187.8,4.4488,0.0956
B0_manual,U01109,6.2569,6.0091,0.5538,0.2625,189.71,4.5143,0.0933
B0_manual,U01123,6.2999,6.0585,0.5701,0.2519,184.08,4.3581,0.0864
B0_manual,U01137,6.302,6.0571,0.5669,0.2539,185.11,4.386,0.088
B0_manual,U01151,6.3429,6.0892,0.5672,0.2534,184.81,4.3747,0.0886
B0_manual,U01165,6.5053,6.2155,0.5666,0.2526,184.12,4.344,0.0921
B0_manual,U01179,6.4136,6.131,0.5534,0.2617,189.0,4.4836,0.0966
