comparison,metric,mean_b3,mean_baseline,mean_diff,ci95_mean_diff_low,ci95_mean_diff_high,mannwhitney_u,p_value,welch_t,welch_p_value,cohens_d,cliffs_delta,n_b3,n_baseline,p_value_holm
B3_vs_B0,composite_index,76.96137838,44.95547878,32.0058996,31.961107498,32.05281972400001,25000000.0,0.0,0.0,0.0,28.149893599864928,1.0,5000,5000,0.0
B3_vs_B0,quality_index,88.177183196,60.16640392199999,28.010779274000008,27.943922266449988,28.076208768249987,25000000.0,0.0,0.0,0.0,16.882366483893318,1.0,5000,5000,0.0
B3_vs_B0,efficiency_index,66.9719511,30.282630436666672,36.689320663333326,36.632752752375,36.745892493250004,25000000.0,0.0,0.0,0.0,24.83035748304721,1.0,5000,5000,0.0
B3_vs_B0,governance_index,68.7602456,35.1832312,33.5770144,33.55509832999999,33.59925665,25000000.0,0.0,0.0,0.0,58.44116669454176,1.0,5000,5000,0.0
B3_vs_B0,time_to_ready_minutes,74.48795399999999,187.876054,-113.38810000000002,-113.51631450000002,-113.2559145,0.0,0.0,0.0,0.0,-34.95941281463083,-1.0,5000,5000,0.0
B3_vs_B1,composite_index,76.96137838,50.0629108,26.898467580000002,26.852767848000013,26.9422440165,25000000.0,0.0,0.0,0.0,23.408998232745045,1.0,5000,5000,0.0
B3_vs_B1,quality_index,88.177183196,59.660827000000005,28.516356195999997,28.41254746025001,28.613262563899998,25000000.0,0.0,0.0,0.0,11.303612900025108,1.0,5000,5000,0.0
B3_vs_B1,efficiency_index,66.9719511,47.013161536666665,19.958789563333333,19.90485307033332,20.01248047145832,25000000.0,0.0,0.0,0.0,14.867437534530543,1.0,5000,5000,0.0
B3_vs_B1,governance_index,68.7602456,36.4463612,32.313884400000006,32.29030165000002,32.33775524000001,25000000.0,0.0,0.0,0.0,53.38308830118606,1.0,5000,5000,0.0
B3_vs_B1,time_to_ready_minutes,74.48795399999999,130.041922,-55.55396800000001,-55.72867699999997,-55.37667805,0.0,0.0,0.0,0.0,-12.303237106447009,-1.0,5000,5000,0.0
B3_vs_B2,composite_index,76.96137838,59.38194774000001,17.57943063999999,17.54157413449999,17.6188008815,25000000.0,0.0,0.0,0.0,17.527761032648137,1.0,5000,5000,0.0
B3_vs_B2,quality_index,88.177183196,73.7570694,14.420113795999995,14.345906265300009,14.493536982,25000000.0,0.0,0.0,0.0,7.660736489247798,1.0,5000,5000,0.0
B3_vs_B2,efficiency_index,66.9719511,52.330152255,14.641798844999997,14.596579835750001,14.687793285875005,25000000.0,0.0,0.0,0.0,12.937080893648602,1.0,5000,5000,0.0
B3_vs_B2,governance_index,68.7602456,41.9688864,26.791359200000002,26.76693217,26.815307340000007,25000000.0,0.0,0.0,0.0,44.13731800563681,1.0,5000,5000,0.0
B3_vs_B2,time_to_ready_minutes,74.48795399999999,115.37153400000001,-40.88358000000002,-40.97038419999999,-40.79079849999999,0.0,0.0,0.0,0.0,-18.045705081760488,-1.0,5000,5000,0.0
