attempt_time,kappa,normalized_lag
0.0,0.05,1.0
0.0,0.1082,1.0
0.0,0.1665,1.0
0.0,0.2247,1.0
0.0,0.2829,1.0
0.0,0.3411,1.0
0.0,0.3994,1.0
0.0,0.4576,1.0
0.0,0.5158,1.0
0.0,0.5741,1.0
0.0,0.6323,1.0
0.0,0.6905,1.0
0.0,0.7487,1.0
0.0,0.807,1.0
0.0,0.8652,1.0
0.0,0.9234,1.0
0.0,0.9816,1.0
0.0,1.0399,1.0
0.0,1.0981,1.0
0.0,1.1563,1.0
0.3038,0.05,0.984925
0.3038,0.1082,0.967655
0.3038,0.1665,0.950689
0.3038,0.2247,0.934019
0.3038,0.2829,0.917642
0.3038,0.3411,0.901552
0.3038,0.3994,0.885745
0.3038,0.4576,0.870214
0.3038,0.5158,0.854956
0.3038,0.5741,0.839965
0.3038,0.6323,0.825237
0.3038,0.6905,0.810767
0.3038,0.7487,0.796551
0.3038,0.807,0.782585
0.3038,0.8652,0.768863
0.3038,0.9234,0.755382
0.3038,0.9816,0.742137
0.3038,1.0399,0.729124
0.3038,1.0981,0.71634
0.3038,1.1563,0.70378
0.6076,0.05,0.970077
0.6076,0.1082,0.936357
0.6076,0.1665,0.903809
0.6076,0.2247,0.872392
0.6076,0.2829,0.842067
0.6076,0.3411,0.812797
0.6076,0.3994,0.784543
0.6076,0.4576,0.757272
0.6076,0.5158,0.730949
0.6076,0.5741,0.705541
0.6076,0.6323,0.681016
0.6076,0.6905,0.657344
0.6076,0.7487,0.634494
0.6076,0.807,0.612439
0.6076,0.8652,0.59115
0.6076,0.9234,0.570602
0.6076,0.9816,0.550767
0.6076,1.0399,0.531622
0.6076,1.0981,0.513143
0.6076,1.1563,0.495306
0.9114,0.05,0.955453
0.9114,0.1082,0.906071
0.9114,0.1665,0.85924
0.9114,0.2247,0.814831
0.9114,0.2829,0.772716
0.9114,0.3411,0.732779
0.9114,0.3994,0.694905
0.9114,0.4576,0.658989
0.9114,0.5158,0.624929
0.9114,0.5741,0.59263
0.9114,0.6323,0.562
0.9114,0.6905,0.532953
0.9114,0.7487,0.505407
0.9114,0.807,0.479285
0.9114,0.8652,0.454514
0.9114,0.9234,0.431022
0.9114,0.9816,0.408745
0.9114,1.0399,0.387619
0.9114,1.0981,0.367585
0.9114,1.1563,0.348586
1.2152,0.05,0.94105
1.2152,0.1082,0.876764
1.2152,0.1665,0.81687
1.2152,0.2247,0.761068
1.2152,0.2829,0.709077
1.2152,0.3411,0.660638
1.2152,0.3994,0.615508
1.2152,0.4576,0.573461
1.2152,0.5158,0.534287
1.2152,0.5741,0.497788
1.2152,0.6323,0.463783
1.2152,0.6905,0.432101
1.2152,0.7487,0.402583
1.2152,0.807,0.375081
1.2152,0.8652,0.349459
1.2152,0.9234,0.325586
1.2152,0.9816,0.303345
1.2152,1.0399,0.282622
1.2152,1.0981,0.263316
1.2152,1.1563,0.245328
1.519,0.05,0.926863
1.519,0.1082,0.848405
1.519,0.1665,0.776589
1.519,0.2247,0.710852
