epoch,prompt_id,reward,loss,kappa_hat,confidence_before,confidence_after,confidence_delta,converged,cumulative_reward,rolling_reward_50,rolling_loss_50,alpha,beta,posterior_mean
1,dependency_heavy,0.340813,0.11625,13.815512,7.0,7.07,0.07,0,0.340813,0.340813,0.11625,1.670406,1.329594,0.556802
2,low_external_context,0.300125,0.2325,13.815512,6.0,6.14,0.14,0,0.640937,0.320469,0.174375,1.650062,1.349938,0.550021
3,low_external_context,0.309083,0.213682,13.815512,6.14,6.29054,0.15054,0,0.95002,0.316673,0.187477,2.304604,1.695396,0.576151
4,low_external_context,0.332736,0.199119,13.815512,6.29054,6.407047,0.116507,0,1.282756,0.320689,0.190388,2.970972,2.029028,0.594194
5,dependency_heavy,0.365733,0.101966,14.508658,7.07,7.18427,0.11427,0,1.64849,0.329698,0.172704,2.353273,1.646727,0.588318
6,low_external_context,0.340481,0.183886,13.815512,6.407047,6.528916,0.121869,0,1.988971,0.331495,0.174567,3.641212,2.358788,0.606869
7,dependency_heavy,0.352862,0.092207,13.815512,7.18427,7.262346,0.078076,0,2.341833,0.334548,0.162801,3.029704,1.970296,0.605941
8,dependency_heavy,0.358052,0.081998,13.815512,7.262346,7.344016,0.08167,0,2.699885,0.337486,0.152701,3.70873,2.29127,0.618122
9,missing_acceptance_criteria,0.340813,0.11625,13.815512,7.0,7.07,0.07,0,3.040697,0.337855,0.148651,1.670406,1.329594,0.556802
10,missing_acceptance_criteria,0.365733,0.101966,14.508658,7.07,7.18427,0.11427,0,3.406431,0.340643,0.143982,2.353273,1.646727,0.588318
11,missing_acceptance_criteria,0.374093,0.086832,14.508658,7.18427,7.305346,0.121076,0,3.780524,0.343684,0.138787,3.04032,1.95968,0.608064
12,low_external_context,0.373046,0.161757,14.508658,6.528916,6.705941,0.177025,0,4.15357,0.346131,0.140701,4.327736,2.672264,0.618248
13,dependency_heavy,0.388182,0.065066,14.508658,7.344016,7.479471,0.135455,0,4.541752,0.349366,0.134883,4.402821,2.597179,0.628974
14,missing_acceptance_criteria,0.353646,0.071001,13.815512,7.305346,7.431995,0.126649,0,4.895398,0.349671,0.13032,3.717142,2.282858,0.619524
15,dependency_heavy,0.368519,0.054612,13.815512,7.479471,7.5631,0.083629,0,5.263916,0.350928,0.125273,5.08708,2.91292,0.635885
16,dependency_heavy,0.401876,0.03664,14.508658,7.5631,7.706877,0.143777,0,5.665792,0.354112,0.119733,5.788018,3.211982,0.643113
17,dependency_heavy,0.3774,0.026457,13.815512,7.706877,7.788344,0.081467,0,6.043192,0.355482,0.114246,6.476718,3.523282,0.647672
18,missing_acceptance_criteria,0.389815,0.05463,14.508658,7.431995,7.562963,0.130968,0,6.433007,0.357389,0.110934,4.41205,2.58795,0.630293
19,low_external_context,0.342075,0.139111,13.815512,6.705941,6.887114,0.181173,0,6.775083,0.356583,0.112417,4.998773,3.001227,0.624847
20,low_external_context,0.362862,0.123528,13.815512,6.887114,7.011774,0.12466,0,7.137945,0.356897,0.112973,5.680204,3.319796,0.631134
21,low_external_context,0.35736,0.099996,13.815512,7.011774,7.200033,0.188258,0,7.495304,0.356919,0.112355,6.358884,3.641116,0.635888
22,dependency_heavy,0.413904,0.007934,14.508658,7.788344,7.936525,0.148181,0,7.909209,0.359509,0.107609,7.18367,3.81633,0.653061
23,low_external_context,0.365418,0.076546,13.815512,7.200033,7.38763,0.187598,0,8.274627,0.359766,0.106258,7.041593,3.958407,0.640145
24,dependency_heavy,0.583978,0.0,13.815512,7.936525,8.012032,0.075507,1,8.858605,0.369109,0.101831,7.975659,4.024341,0.664638
