attempt_index,n,mean_reward,std_reward,mean_loss,std_loss,mean_kappa_hat,cumulative_reward
1,70,0.53257,0.051417,0.07884,0.034814,14.183572,37.279902
2,70,0.606975,0.14352,0.026796,0.028443,14.183572,79.768142
3,70,0.583385,0.129973,0.005081,0.005393,14.183572,120.605062
4,70,0.66534,0.023297,0.0,0.0,14.183572,167.178895
5,70,0.644433,0.019074,0.0,0.0,14.183572,212.289191
6,70,0.627315,0.015616,0.0,0.0,14.183572,256.201243
7,70,0.6133,0.012785,0.0,0.0,14.183572,299.132256
8,70,0.601826,0.010468,0.0,0.0,14.183572,341.260064
9,70,0.592431,0.00857,0.0,0.0,14.183572,382.730261
10,70,0.58474,0.007017,0.0,0.0,14.183572,423.662053
11,70,0.578443,0.005745,0.0,0.0,14.183572,464.153035
12,70,0.573287,0.004704,0.0,0.0,14.183572,504.283114
13,70,0.569066,0.003851,0.0,0.0,14.183572,544.11771
14,70,0.56561,0.003153,0.0,0.0,14.183572,583.710384
15,70,0.56278,0.002581,0.0,0.0,14.183572,623.104991
16,70,0.560463,0.002113,0.0,0.0,14.183572,662.337432
