method,scenario,n,stale_mutation_rate,duplicate_mutation_rate,unsafe_mutation_rate,correct_outcome_rate,mean_remote_mutations
A0_ordinary_approval_log,valid_control,2000,0.0,0.0,0.0,1.0,1.0
A0_ordinary_approval_log,source_edit,2000,1.0,0.0,1.0,0.0,1.0
A0_ordinary_approval_log,source_aba,2000,1.0,0.0,1.0,0.0,1.0
A0_ordinary_approval_log,draft_drift,2000,1.0,0.0,1.0,0.0,1.0
A0_ordinary_approval_log,policy_drift,2000,1.0,0.0,1.0,0.0,1.0
A0_ordinary_approval_log,target_drift,2000,1.0,0.0,1.0,0.0,1.0
A0_ordinary_approval_log,response_loss_retry,2000,0.0,1.0,1.0,0.0,2.0
A0_ordinary_approval_log,concurrent_retry,2000,0.0,1.0,1.0,0.0,2.0
A0_ordinary_approval_log,combined_source_and_draft_drift,2000,1.0,1.0,1.0,0.0,2.0
A1_source_hash_conditional,valid_control,2000,0.0,0.0,0.0,1.0,1.0
A1_source_hash_conditional,source_edit,2000,0.0,0.0,0.0,1.0,0.0
A1_source_hash_conditional,source_aba,2000,1.0,0.0,1.0,0.0,1.0
A1_source_hash_conditional,draft_drift,2000,1.0,0.0,1.0,0.0,1.0
A1_source_hash_conditional,policy_drift,2000,1.0,0.0,1.0,0.0,1.0
A1_source_hash_conditional,target_drift,2000,1.0,0.0,1.0,0.0,1.0
A1_source_hash_conditional,response_loss_retry,2000,0.0,1.0,1.0,0.0,2.0
A1_source_hash_conditional,concurrent_retry,2000,0.0,1.0,1.0,0.0,2.0
A1_source_hash_conditional,combined_source_and_draft_drift,2000,0.0,0.0,0.0,1.0,0.0
A2_source_hash_atomic_idempotency,valid_control,2000,0.0,0.0,0.0,1.0,1.0
A2_source_hash_atomic_idempotency,source_edit,2000,0.0,0.0,0.0,1.0,0.0
A2_source_hash_atomic_idempotency,source_aba,2000,1.0,0.0,1.0,0.0,1.0
A2_source_hash_atomic_idempotency,draft_drift,2000,1.0,0.0,1.0,0.0,1.0
A2_source_hash_atomic_idempotency,policy_drift,2000,1.0,0.0,1.0,0.0,1.0
A2_source_hash_atomic_idempotency,target_drift,2000,1.0,0.0,1.0,0.0,1.0
A2_source_hash_atomic_idempotency,response_loss_retry,2000,0.0,0.0,0.0,1.0,1.0
A2_source_hash_atomic_idempotency,concurrent_retry,2000,0.0,0.0,0.0,1.0,1.0
A2_source_hash_atomic_idempotency,combined_source_and_draft_drift,2000,0.0,0.0,0.0,1.0,0.0
A3_source_bound_causal_transaction,valid_control,2000,0.0,0.0,0.0,1.0,1.0
A3_source_bound_causal_transaction,source_edit,2000,0.0,0.0,0.0,1.0,0.0
A3_source_bound_causal_transaction,source_aba,2000,0.0,0.0,0.0,1.0,0.0
A3_source_bound_causal_transaction,draft_drift,2000,0.0,0.0,0.0,1.0,0.0
A3_source_bound_causal_transaction,policy_drift,2000,0.0,0.0,0.0,1.0,0.0
A3_source_bound_causal_transaction,target_drift,2000,0.0,0.0,0.0,1.0,0.0
A3_source_bound_causal_transaction,response_loss_retry,2000,0.0,0.0,0.0,1.0,1.0
A3_source_bound_causal_transaction,concurrent_retry,2000,0.0,0.0,0.0,1.0,1.0
A3_source_bound_causal_transaction,combined_source_and_draft_drift,2000,0.0,0.0,0.0,1.0,0.0
