trial_id,scenario,method,blocked,block_reasons,remote_mutations,stale_mutation,duplicate_mutation,unsafe_mutation,correct_outcome
1,source_edit,A0_ordinary_approval_log,0,,1,1,0,1,0
1,source_edit,A1_source_hash_conditional,1,source_hash_mismatch,0,0,0,0,1
1,source_edit,A2_source_hash_atomic_idempotency,1,source_hash_mismatch,0,0,0,0,1
1,source_edit,A3_source_bound_causal_transaction,1,approved_source_hash_mismatch|approved_source_revision_mismatch,0,0,0,0,1
2,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
2,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
2,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
2,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
3,source_edit,A0_ordinary_approval_log,0,,1,1,0,1,0
3,source_edit,A1_source_hash_conditional,1,source_hash_mismatch,0,0,0,0,1
3,source_edit,A2_source_hash_atomic_idempotency,1,source_hash_mismatch,0,0,0,0,1
3,source_edit,A3_source_bound_causal_transaction,1,approved_source_hash_mismatch|approved_source_revision_mismatch,0,0,0,0,1
4,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
4,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
4,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
4,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
5,response_loss_retry,A0_ordinary_approval_log,0,,2,0,1,1,0
5,response_loss_retry,A1_source_hash_conditional,0,,2,0,1,1,0
5,response_loss_retry,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
5,response_loss_retry,A3_source_bound_causal_transaction,0,,1,0,0,0,1
6,response_loss_retry,A0_ordinary_approval_log,0,,2,0,1,1,0
6,response_loss_retry,A1_source_hash_conditional,0,,2,0,1,1,0
6,response_loss_retry,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
6,response_loss_retry,A3_source_bound_causal_transaction,0,,1,0,0,0,1
7,combined_source_and_draft_drift,A0_ordinary_approval_log,0,,2,1,1,1,0
7,combined_source_and_draft_drift,A1_source_hash_conditional,1,source_hash_mismatch,0,0,0,0,1
7,combined_source_and_draft_drift,A2_source_hash_atomic_idempotency,1,source_hash_mismatch,0,0,0,0,1
7,combined_source_and_draft_drift,A3_source_bound_causal_transaction,1,approved_draft_version_mismatch|approved_draft_hash_mismatch|approved_source_hash_mismatch|approved_source_revision_mismatch,0,0,0,0,1
8,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
8,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
8,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
8,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
9,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
9,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
9,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
9,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
10,policy_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
10,policy_drift,A1_source_hash_conditional,0,,1,1,0,1,0
10,policy_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
10,policy_drift,A3_source_bound_causal_transaction,1,approved_policy_version_mismatch|approved_policy_snapshot_mismatch,0,0,0,0,1
11,target_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
11,target_drift,A1_source_hash_conditional,0,,1,1,0,1,0
11,target_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
11,target_drift,A3_source_bound_causal_transaction,1,approved_policy_snapshot_mismatch|approved_write_targets_mismatch,0,0,0,0,1
12,draft_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
12,draft_drift,A1_source_hash_conditional,0,,1,1,0,1,0
12,draft_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
12,draft_drift,A3_source_bound_causal_transaction,1,approved_draft_version_mismatch|approved_draft_hash_mismatch,0,0,0,0,1
13,target_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
13,target_drift,A1_source_hash_conditional,0,,1,1,0,1,0
13,target_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
13,target_drift,A3_source_bound_causal_transaction,1,approved_policy_snapshot_mismatch|approved_write_targets_mismatch,0,0,0,0,1
14,valid_control,A0_ordinary_approval_log,0,,1,0,0,0,1
14,valid_control,A1_source_hash_conditional,0,,1,0,0,0,1
14,valid_control,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
14,valid_control,A3_source_bound_causal_transaction,0,,1,0,0,0,1
15,combined_source_and_draft_drift,A0_ordinary_approval_log,0,,2,1,1,1,0
15,combined_source_and_draft_drift,A1_source_hash_conditional,1,source_hash_mismatch,0,0,0,0,1
15,combined_source_and_draft_drift,A2_source_hash_atomic_idempotency,1,source_hash_mismatch,0,0,0,0,1
15,combined_source_and_draft_drift,A3_source_bound_causal_transaction,1,approved_draft_version_mismatch|approved_draft_hash_mismatch|approved_source_hash_mismatch|approved_source_revision_mismatch,0,0,0,0,1
16,source_edit,A0_ordinary_approval_log,0,,1,1,0,1,0
16,source_edit,A1_source_hash_conditional,1,source_hash_mismatch,0,0,0,0,1
16,source_edit,A2_source_hash_atomic_idempotency,1,source_hash_mismatch,0,0,0,0,1
16,source_edit,A3_source_bound_causal_transaction,1,approved_source_hash_mismatch|approved_source_revision_mismatch,0,0,0,0,1
17,concurrent_retry,A0_ordinary_approval_log,0,,2,0,1,1,0
17,concurrent_retry,A1_source_hash_conditional,0,,2,0,1,1,0
17,concurrent_retry,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
17,concurrent_retry,A3_source_bound_causal_transaction,0,,1,0,0,0,1
18,response_loss_retry,A0_ordinary_approval_log,0,,2,0,1,1,0
18,response_loss_retry,A1_source_hash_conditional,0,,2,0,1,1,0
18,response_loss_retry,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
18,response_loss_retry,A3_source_bound_causal_transaction,0,,1,0,0,0,1
19,source_edit,A0_ordinary_approval_log,0,,1,1,0,1,0
19,source_edit,A1_source_hash_conditional,1,source_hash_mismatch,0,0,0,0,1
19,source_edit,A2_source_hash_atomic_idempotency,1,source_hash_mismatch,0,0,0,0,1
19,source_edit,A3_source_bound_causal_transaction,1,approved_source_hash_mismatch|approved_source_revision_mismatch,0,0,0,0,1
20,target_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
20,target_drift,A1_source_hash_conditional,0,,1,1,0,1,0
20,target_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
20,target_drift,A3_source_bound_causal_transaction,1,approved_policy_snapshot_mismatch|approved_write_targets_mismatch,0,0,0,0,1
21,source_aba,A0_ordinary_approval_log,0,,1,1,0,1,0
21,source_aba,A1_source_hash_conditional,0,,1,1,0,1,0
21,source_aba,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
21,source_aba,A3_source_bound_causal_transaction,1,approved_source_revision_mismatch,0,0,0,0,1
22,valid_control,A0_ordinary_approval_log,0,,1,0,0,0,1
22,valid_control,A1_source_hash_conditional,0,,1,0,0,0,1
22,valid_control,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
22,valid_control,A3_source_bound_causal_transaction,0,,1,0,0,0,1
23,response_loss_retry,A0_ordinary_approval_log,0,,2,0,1,1,0
23,response_loss_retry,A1_source_hash_conditional,0,,2,0,1,1,0
23,response_loss_retry,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
23,response_loss_retry,A3_source_bound_causal_transaction,0,,1,0,0,0,1
24,draft_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
24,draft_drift,A1_source_hash_conditional,0,,1,1,0,1,0
24,draft_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
24,draft_drift,A3_source_bound_causal_transaction,1,approved_draft_version_mismatch|approved_draft_hash_mismatch,0,0,0,0,1
25,source_aba,A0_ordinary_approval_log,0,,1,1,0,1,0
25,source_aba,A1_source_hash_conditional,0,,1,1,0,1,0
25,source_aba,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
25,source_aba,A3_source_bound_causal_transaction,1,approved_source_revision_mismatch,0,0,0,0,1
26,source_aba,A0_ordinary_approval_log,0,,1,1,0,1,0
26,source_aba,A1_source_hash_conditional,0,,1,1,0,1,0
26,source_aba,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
26,source_aba,A3_source_bound_causal_transaction,1,approved_source_revision_mismatch,0,0,0,0,1
27,target_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
27,target_drift,A1_source_hash_conditional,0,,1,1,0,1,0
27,target_drift,A2_source_hash_atomic_idempotency,0,,1,1,0,1,0
27,target_drift,A3_source_bound_causal_transaction,1,approved_policy_snapshot_mismatch|approved_write_targets_mismatch,0,0,0,0,1
28,valid_control,A0_ordinary_approval_log,0,,1,0,0,0,1
28,valid_control,A1_source_hash_conditional,0,,1,0,0,0,1
28,valid_control,A2_source_hash_atomic_idempotency,0,,1,0,0,0,1
28,valid_control,A3_source_bound_causal_transaction,0,,1,0,0,0,1
29,target_drift,A0_ordinary_approval_log,0,,1,1,0,1,0
