analysis,contrast,dimension,n_epics,mean_difference,ci_low,ci_high,exact_sign_flip_p,rank_biserial,positive_epics,negative_epics,tied_epics,holm_p_within_contrast
primary_reviewers_3_5,B3-B2,scope_fidelity,14,0.07142857142857142,0.0,0.21428571428571427,1.0,1.0,1,0,13,1.0
primary_reviewers_3_5,B3-B2,coverage_completeness,14,-0.14285714285714285,-0.42857142857142855,0.14285714285714285,0.625,-0.5,1,3,10,1.0
primary_reviewers_3_5,B3-B2,story_distinctness,14,0.14285714285714285,-0.14285714285714285,0.42857142857142855,0.625,0.5,3,1,10,1.0
primary_reviewers_3_5,B3-B2,acceptance_testability,14,-0.42857142857142855,-0.7142857142857143,-0.07142857142857142,0.0703125,-0.75,1,7,6,0.421875
primary_reviewers_3_5,B3-B2,dependency_risk_treatment,14,0.2857142857142857,-0.14285714285714285,0.7857142857142857,0.40625,0.5238095238095238,4,2,8,1.0
primary_reviewers_3_5,B3-B2,granularity_actionability,14,0.5476190476190476,0.21428571428571427,0.9285714285714285,0.03125,1.0,6,0,8,0.21875
primary_reviewers_3_5,B3-B2,implementation_readiness,14,0.21428571428571427,-0.21428571428571427,0.6904761904761905,0.46875,0.42857142857142855,4,3,7,1.0
primary_reviewers_3_5,B3-B1,scope_fidelity,14,1.1428571428571428,0.8571428571428571,1.4285714285714286,0.000244140625,1.0,13,0,1,0.00146484375
primary_reviewers_3_5,B3-B1,coverage_completeness,14,1.7857142857142858,1.2142857142857142,2.2857142857142856,0.00048828125,1.0,12,0,2,0.00146484375
primary_reviewers_3_5,B3-B1,story_distinctness,14,1.9285714285714286,1.3571428571428572,2.4285714285714284,0.000244140625,1.0,13,0,1,0.00146484375
primary_reviewers_3_5,B3-B1,acceptance_testability,14,1.3571428571428572,1.0,1.7142857142857142,0.000244140625,1.0,13,0,1,0.00146484375
primary_reviewers_3_5,B3-B1,dependency_risk_treatment,14,2.2857142857142856,1.8571428571428572,2.7142857142857144,0.0001220703125,1.0,14,0,0,0.0008544921875
primary_reviewers_3_5,B3-B1,granularity_actionability,14,1.2142857142857142,0.9285714285714286,1.5,0.000244140625,1.0,13,0,1,0.00146484375
primary_reviewers_3_5,B3-B1,implementation_readiness,14,1.2380952380952384,0.7857142857142857,1.738095238095238,0.00048828125,1.0,12,0,2,0.00146484375
sensitivity_all_five,B3-B2,scope_fidelity,14,0.05714285714285713,-0.04285714285714289,0.21428571428571427,1.0,0.3333333333333333,1,1,12,1.0
sensitivity_all_five,B3-B2,coverage_completeness,14,-0.14285714285714285,-0.42857142857142855,0.14285714285714285,0.625,-0.5,1,3,10,1.0
sensitivity_all_five,B3-B2,story_distinctness,14,0.14285714285714285,-0.14285714285714285,0.42857142857142855,0.625,0.5,3,1,10,1.0
sensitivity_all_five,B3-B2,acceptance_testability,14,-0.42857142857142855,-0.7142857142857143,-0.07142857142857142,0.0703125,-0.75,1,7,6,0.421875
sensitivity_all_five,B3-B2,dependency_risk_treatment,14,0.2714285714285714,-0.14285714285714285,0.7142857142857143,0.28125,0.42857142857142855,5,2,7,1.0
sensitivity_all_five,B3-B2,granularity_actionability,14,0.5428571428571428,0.21428571428571427,0.9142857142857144,0.03125,1.0,6,0,8,0.21875
sensitivity_all_five,B3-B2,implementation_readiness,14,0.19999999999999996,-0.22857142857142862,0.6571428571428571,0.46875,0.3333333333333333,4,4,6,1.0
sensitivity_all_five,B3-B1,scope_fidelity,14,1.1857142857142857,0.9142857142857144,1.457142857142857,0.000244140625,1.0,13,0,1,0.00146484375
sensitivity_all_five,B3-B1,coverage_completeness,14,1.7571428571428573,1.2142857142857142,2.242857142857143,0.00048828125,1.0,12,0,2,0.00146484375
sensitivity_all_five,B3-B1,story_distinctness,14,1.9428571428571428,1.3857142857142857,2.471428571428571,0.000244140625,1.0,13,0,1,0.00146484375
sensitivity_all_five,B3-B1,acceptance_testability,14,1.3714285714285714,1.0142857142857142,1.7428571428571427,0.000244140625,1.0,13,0,1,0.00146484375
sensitivity_all_five,B3-B1,dependency_risk_treatment,14,2.3142857142857145,1.9000000000000001,2.685714285714286,0.0001220703125,1.0,14,0,0,0.0008544921875
sensitivity_all_five,B3-B1,granularity_actionability,14,1.2285714285714284,0.9428571428571428,1.5142857142857142,0.000244140625,1.0,13,0,1,0.00146484375
sensitivity_all_five,B3-B1,implementation_readiness,14,1.2571428571428573,0.8,1.7428571428571427,0.00048828125,1.0,12,0,2,0.00146484375
