analysis,method,dimension,n_epics,mean,sd_epic,ci_low,ci_high
primary_reviewers_3_5,B1,scope_fidelity,14,3.5714285714285716,0.5135525910130956,3.2857142857142856,3.7857142857142856
primary_reviewers_3_5,B1,coverage_completeness,14,2.7857142857142856,0.892582375303981,2.357142857142857,3.2142857142857144
primary_reviewers_3_5,B1,story_distinctness,14,2.9285714285714284,0.9168747682531898,2.5,3.357142857142857
primary_reviewers_3_5,B1,acceptance_testability,14,2.5714285714285716,0.646206172658864,2.2857142857142856,2.9285714285714284
primary_reviewers_3_5,B1,dependency_risk_treatment,14,2.2857142857142856,0.4688072309384955,2.0714285714285716,2.5
primary_reviewers_3_5,B1,granularity_actionability,14,2.5714285714285716,0.646206172658864,2.2857142857142856,2.9285714285714284
primary_reviewers_3_5,B1,implementation_readiness,14,2.5,0.5188745216627708,2.2142857142857144,2.7857142857142856
primary_reviewers_3_5,B1,composite,14,2.7448979591836737,0.5987390502758152,2.4489795918367347,3.0510204081632653
primary_reviewers_3_5,B2,scope_fidelity,14,4.642857142857143,0.49724515809884695,4.357142857142857,4.857142857142857
primary_reviewers_3_5,B2,coverage_completeness,14,4.714285714285714,0.4688072309384955,4.5,4.928571428571429
primary_reviewers_3_5,B2,story_distinctness,14,4.714285714285714,0.4688072309384955,4.5,4.928571428571429
primary_reviewers_3_5,B2,acceptance_testability,14,4.357142857142857,0.6333236937766509,4.0,4.642857142857143
primary_reviewers_3_5,B2,dependency_risk_treatment,14,4.285714285714286,0.8254203058555569,3.857142857142857,4.714285714285714
primary_reviewers_3_5,B2,granularity_actionability,14,3.238095238095238,0.8616082302118185,2.7857142857142856,3.642857142857143
primary_reviewers_3_5,B2,implementation_readiness,14,3.523809523809524,1.258912063990009,2.880952380952381,4.142857142857143
primary_reviewers_3_5,B2,composite,14,4.210884353741496,0.6428813686153771,3.880952380952381,4.527210884353741
primary_reviewers_3_5,B3,scope_fidelity,14,4.714285714285714,0.4688072309384955,4.5,4.928571428571429
primary_reviewers_3_5,B3,coverage_completeness,14,4.571428571428571,0.5135525910130954,4.285714285714286,4.785714285714286
primary_reviewers_3_5,B3,story_distinctness,14,4.857142857142857,0.3631365196012814,4.642857142857143,5.0
primary_reviewers_3_5,B3,acceptance_testability,14,3.9285714285714284,0.4746311465493235,3.7142857142857144,4.142857142857143
primary_reviewers_3_5,B3,dependency_risk_treatment,14,4.571428571428571,0.6462061726588639,4.214285714285714,4.857142857142857
primary_reviewers_3_5,B3,granularity_actionability,14,3.7857142857142856,0.4258153136263201,3.5714285714285716,4.0
primary_reviewers_3_5,B3,implementation_readiness,14,3.738095238095238,0.8690162571489991,3.2857142857142856,4.142857142857143
primary_reviewers_3_5,B3,composite,14,4.309523809523809,0.4200412794412906,4.085034013605442,4.5102040816326525
sensitivity_all_five,B1,scope_fidelity,14,3.5285714285714285,0.4874242685611967,3.2857142857142856,3.7714285714285714
sensitivity_all_five,B1,coverage_completeness,14,2.814285714285714,0.8681165668424797,2.3857142857142857,3.257142857142857
sensitivity_all_five,B1,story_distinctness,14,2.914285714285714,0.91723425651176,2.4714285714285715,3.357142857142857
sensitivity_all_five,B1,acceptance_testability,14,2.557142857142857,0.638163574056642,2.257142857142857,2.9
sensitivity_all_five,B1,dependency_risk_treatment,14,2.2857142857142856,0.4129763317061288,2.085714285714286,2.5
sensitivity_all_five,B1,granularity_actionability,14,2.5714285714285716,0.646206172658864,2.2857142857142856,2.9285714285714284
sensitivity_all_five,B1,implementation_readiness,14,2.4857142857142853,0.5066589550213207,2.2142857142857144,2.742857142857143
sensitivity_all_five,B1,composite,14,2.736734693877551,0.5963971969299848,2.438775510204082,3.0387755102040823
sensitivity_all_five,B2,scope_fidelity,14,4.6571428571428575,0.4799267343352215,4.4,4.871428571428572
sensitivity_all_five,B2,coverage_completeness,14,4.714285714285714,0.4688072309384955,4.5,4.928571428571429
sensitivity_all_five,B2,story_distinctness,14,4.714285714285714,0.4688072309384955,4.5,4.928571428571429
sensitivity_all_five,B2,acceptance_testability,14,4.357142857142857,0.6333236937766509,4.0,4.642857142857143
sensitivity_all_five,B2,dependency_risk_treatment,14,4.328571428571428,0.7549106635159619,3.942857142857143,4.714285714285714
sensitivity_all_five,B2,granularity_actionability,14,3.257142857142857,0.8500807977112309,2.8142857142857145,3.6714285714285717
sensitivity_all_five,B2,implementation_readiness,14,3.542857142857143,1.2586404666050683,2.9,4.171428571428572
sensitivity_all_five,B2,composite,14,4.224489795918366,0.6289566394927112,3.9020408163265303,4.534693877551019
sensitivity_all_five,B3,scope_fidelity,14,4.714285714285714,0.4688072309384955,4.5,4.928571428571429
sensitivity_all_five,B3,coverage_completeness,14,4.571428571428571,0.5135525910130954,4.285714285714286,4.785714285714286
sensitivity_all_five,B3,story_distinctness,14,4.857142857142857,0.3631365196012814,4.642857142857143,5.0
sensitivity_all_five,B3,acceptance_testability,14,3.9285714285714284,0.4746311465493235,3.7142857142857144,4.142857142857143
sensitivity_all_five,B3,dependency_risk_treatment,14,4.6000000000000005,0.6275716324421888,4.257142857142857,4.885714285714286
sensitivity_all_five,B3,granularity_actionability,14,3.8000000000000003,0.39999999999999997,3.585714285714286,4.0
sensitivity_all_five,B3,implementation_readiness,14,3.742857142857143,0.8608710130437086,3.3,4.142857142857143
sensitivity_all_five,B3,composite,14,4.316326530612245,0.4153210686235535,4.095918367346939,4.514285714285714
