analysis,outcome,contrast_role,contrast,n_epics,treatment_mean,baseline_mean,mean_difference,median_difference,ci_low,ci_high,exact_sign_flip_p,rank_biserial,positive_epics,negative_epics,tied_epics,holm_p
primary_reviewers_3_5,composite,primary,B3-B2,14,4.309523809523809,4.210884353741496,0.09863945578231295,-0.04761904761904745,-0.13265306122448964,0.36054421768707484,0.4853515625,0.12121212121212122,4,7,3,0.4853515625
primary_reviewers_3_5,composite,secondary,B3-B1,14,4.309523809523809,2.7448979591836737,1.564625850340136,1.380952380952381,1.2312925170068028,1.9115646258503394,0.0001220703125,1.0,14,0,0,0.000244140625
primary_reviewers_3_5,review_time_min,primary,B3-B2,14,9.380952380952381,10.404761904761903,-1.0238095238095237,-1.0,-1.5714285714285714,-0.476190476190476,0.0048828125,-0.782051282051282,1,11,2,0.009765625
primary_reviewers_3_5,review_time_min,secondary,B3-B1,14,9.380952380952381,9.0,0.380952380952381,0.33333333333333304,-0.19047619047619044,0.9523809523809524,0.265625,0.38181818181818183,7,3,4,0.265625
primary_reviewers_3_5,required_edits,primary,B3-B2,14,2.404761904761905,3.047619047619048,-0.6428571428571429,0.0,-1.5476190476190477,0.1904761904761905,0.205078125,-0.45454545454545453,4,6,4,0.205078125
primary_reviewers_3_5,required_edits,secondary,B3-B1,14,2.404761904761905,10.428571428571429,-8.023809523809524,-7.0,-9.904761904761903,-6.214285714285714,0.0001220703125,-1.0,0,14,0,0.000244140625
sensitivity_all_five,composite,primary,B3-B2,14,4.316326530612245,4.224489795918366,0.09183673469387761,-0.07142857142857117,-0.13469387755102039,0.3469387755102041,0.5048828125,0.05128205128205128,5,7,2,0.5048828125
sensitivity_all_five,composite,secondary,B3-B1,14,4.316326530612245,2.736734693877551,1.5795918367346942,1.4142857142857141,1.2469387755102042,1.9224489795918367,0.0001220703125,1.0,14,0,0,0.000244140625
sensitivity_all_five,review_time_min,primary,B3-B2,14,9.214285714285714,10.357142857142858,-1.1428571428571426,-1.0,-1.6571428571428568,-0.6428571428571425,0.0009765625,-0.945054945054945,1,12,1,0.001953125
sensitivity_all_five,review_time_min,secondary,B3-B1,14,9.214285714285714,8.957142857142857,0.2571428571428575,0.20000000000000018,-0.2285714285714284,0.7428571428571432,0.35888671875,0.28205128205128205,7,5,2,0.35888671875
sensitivity_all_five,required_edits,primary,B3-B2,14,2.4,3.0428571428571423,-0.642857142857143,0.0,-1.4714285714285715,0.12857142857142853,0.17578125,-0.42424242424242425,5,6,3,0.17578125
sensitivity_all_five,required_edits,secondary,B3-B1,14,2.4,10.357142857142858,-7.957142857142856,-7.1,-9.77142857142857,-6.2285714285714295,0.0001220703125,-1.0,0,14,0,0.000244140625
